"Zipcode","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"11234","101.8545537910384","224.28500151998784","117.11799269452939","122.41013052539212","78.39002140974966","73.96531121154456","112.77920191040843","143.70645425463852","286.02738695987654"
"11210","58.30514775413712","95.6896898002103","82.7418882709808","82.91515772128061","73.37802279345878","130.361733287388","180.41859006981144","163.8192341444654","261.02026093675704"
"11354","44.461772991211554","70.1150765855274","72.40252621342803","98.94464573268921","100.98266094088517","110.19610393339076","240.80184807256236","196.89410217298223","304.37862694478866"
"10451","41.28782154528478","70.8195105237396","78.15811484986564","86.60771996215705","89.69037704918033","182.61954572376214","79.78103537748275","99.2859839219064","106.3613074980575"
"10031","45.223379192872116","78.37771209633279","73.24542932807546","35.67737992474546","68.3744499156522","107.55204026399842","89.46886405736004","103.64607727551568","97.55794377802012"
"11364","48.39814365079365","74.93254987960096","103.85435407153729","125.52223003123606","169.74060699588478","98.90517153097798","204.05822812846068","177.39805413348503","337.624045433145"
"10301","44.71986312399356","76.33126244942422","59.94109661495064","82.49901112735543","72.76056537102474","75.10697585978836","111.68171207775653","151.36266084343006","164.72910941475826"
"10016","36.49315140845071","52.647860374579125","68.25087236533957","85.24068373071529","171.92045125482625","162.70013345292455","112.9645107134968","125.64275714931615","183.19313229089104"
"10305","34.19057345807346","58.66191871345029","68.84163209876543","45.32687542087542","73.26732280592037","89.18091503267974","94.75593907248742","147.33851450770078","185.0085091954023"
"11217","33.9821866431649","62.54361434945308","70.89218542826836","96.36146900927281","123.21129638593095","83.32301863713192","139.25706338519848","161.954592221161","177.3911991062562"
"10022","39.57160569105691","72.27840637662615","93.33543236714976","215.32065243484226","186.5132504970179","192.236940747782","125.09382272416153","165.82942857142856","148.60914147440997"
"11103","27.817915592783507","63.34296996790463","54.682673417132214","66.09453106332138","70.34550520308828","63.43257309941521","57.60388577515569","165.98676673888374","307.55543127878144"
"10036","44.52844520288206","81.5693538647343","138.23489292929293","192.4473220486111","137.90130006703535","156.20308060713234","83.14848026020637","132.82526756794817","106.10623176598386"
"10017","43.07392557651992","58.060017580872014","107.56870801033591","238.8539696611505","308.8908366500829","181.0615841103341","170.7004618863049","165.46270877009084","172.81177824267783"
"10065","43.58853970741902","83.09603927203065","89.5593686868687","127.33654280510018","117.0219040553907","173.2763497882046","92.42919611588665","139.39344861111113","140.3456163434903"
"10075","50.46937748015873","128.88038907594463","112.27466379663797","87.1748923152227","355.5622247706422","187.99741324418974","180.40630113141862","180.2009717244126","208.21191475095785"
"10010","47.057473895582326","78.77096752549652","75.7708093166576","82.77411697796934","205.22733333333332","97.14742866591081","109.49399935826916","109.67853706695387","122.30372467071935"
"10023","36.569397965158835","62.578918695148204","91.07501236284963","109.68152298850575","95.39757168458782","123.87688679842898","84.86673045500251","92.10978775226165","135.24828527607363"
"10021","45.03177761580823","90.97285271782575","90.68065145502645","119.39341757741347","124.7283745318352","181.3772254792481","156.23681707629288","139.86012118736383","299.6433696296296"
"11377","31.753387039971827","67.2057932389937","67.68737211833383","69.33394568938687","85.4329699868074","64.6436633877753","51.31855962369692","116.954765917603","178.88647725868248"
"10003","41.05522949069838","59.045904206675814","82.01040971540726","102.84730667149233","163.9798690760653","195.76662501301678","106.82224487362899","115.94871330812174","141.6206844017094"
"11379","24.4335054118045","51.80583778173191","70.74156162883314","94.06167719852554","70.05652717127607","113.76042792792794","89.1535967202142","110.78306454170631","322.1082349665924"
"10001","42.858176868998626","48.87067337807606","96.1305487804878","147.4308657642414","186.94093621399176","138.3846469575201","53.69651419481155","85.28272454915648","94.10443067792463"
"10009","32.753294523896834","62.63521097407788","62.46009855152182","43.07491595253791","66.99466226622663","98.90906688700032","119.12448504556143","78.15859699807399","105.86349652027837"
"11207","42.773956813956815","66.26833043377407","85.39817840646651","71.4955744777475","112.54291576343728","104.58248034633917","152.61864075286417","148.92472016094456","138.4189174229923"
"11237","49.18616489361702","97.19591200366175","92.16381317600786","88.66827095674026","73.23684034349807","91.35018402442944","136.38289723740132","101.26557196256348","113.65055460642876"
"10002","39.96922936038321","62.7130685156385","74.584046854083","56.694881598793366","99.0375498020292","99.4145001096852","108.27665310630208","103.84543744661279","85.80304547173378"
"11104","42.43790150412421","89.37787334762415","105.47228466838932","62.94265586034913","78.39158221050576","57.53203211358872","97.09819494225408","208.71109334081555","187.9512676686348"
"10035","43.90501593453919","76.42069998154301","83.57377245053273","78.90966974531206","97.34990167906243","167.67016132111493","157.76731746031746","108.15607487922705","112.24805225581953"
"11373","33.467526106073095","60.50662240405781","78.00789862369923","80.85831697254233","69.25107088888889","78.52654702081838","82.9874116496975","121.6332367355973","265.6160160540769"
"11212","44.99076690344646","71.5225884292566","90.0779957912458","70.1445137709866","59.23517083715947","158.27911305191654","157.37119900861367","140.43975150032045","209.00702685185186"
"11213","49.03755108264715","75.17081837408439","72.89438642624593","71.46631863767253","70.60437698412699","124.79238714910424","137.79636952113555","155.06065949274134","159.36700080515297"
"10454","43.92496083198271","84.94103820003579","80.13937373737373","129.234681265689","115.51342467467468","171.32202209797657","96.44659959037378","94.32191525554782","124.56732658072437"
"10128","51.54371408045977","94.5557953682612","91.90377401837928","84.52519534972365","65.98485082304526","179.7103696895425","129.79890710382514","157.8468178684003","161.96116646537843"
"11375","46.175039788784765","75.468703817734","87.25227503676962","92.32469774669775","84.2324115735533","80.2758645673323","135.21815272690273","165.8331630314525","270.9213805362803"
